"","GEOID","year","pm25_ori"
"1",31039,2001,10.2108336401826
"2",53069,2001,7.93764660547945
"3",35011,2001,6.68672862739726
"4",31109,2001,10.5894299458349
"5",31129,2001,9.36533941917808
"6",46099,2001,10.5870385596869
"7",48327,2001,7.0979620630137
"8",6091,2001,9.14075831232877
"9",21053,2001,13.2668096328767
"10",39063,2001,14.6498126967334
"11",48189,2001,8.93281535768644
"12",1027,2001,13.0595843465753
"13",48011,2001,8.33822057808219
"14",39003,2001,15.3501071152345
"15",13189,2001,14.1283369084932
"16",55111,2001,11.5336511660695
"17",5137,2001,11.4379690246575
"18",41063,2001,7.57747166575342
"19",42007,2001,16.7637913433252
"20",28061,2001,12.3511668006849
"21",29083,2001,11.1773744557077
"22",8109,2001,6.41074145205479
"23",37037,2001,14.1942277492097
"24",49033,2001,9.25086753424658
"25",40001,2001,11.4645604849315
"26",39085,2001,15.5038006692489
"27",51775,2001,13.3618708569863
"28",51121,2001,12.7392151501712
"29",47065,2001,15.0126309061811
"30",35035,2001,7.00717908527397
"31",35003,2001,6.15958527671233
"32",1091,2001,12.0645829479452
"33",56023,2001,8.29075239931507
"34",29011,2001,11.7200506803653
"35",48057,2001,7.61064534356164
"36",51735,2001,12.9000522611872
"37",54075,2001,10.8531034972603
"38",48077,2001,9.27905422283104
"39",51095,2001,12.7548977693649
"40",31101,2001,8.12098503835615
"41",31137,2001,8.99191385205478
"42",22019,2001,12.4406234753424
"43",22111,2001,12.394131952968
"44",40135,2001,11.8118197208523
"45",1049,2001,14.4211451843444
"46",36101,2001,11.0907158347032
"47",42053,2001,12.5594876456621
"48",22105,2001,11.5214382176712
"49",51179,2001,13.3524583406392
"50",26109,2001,9.49671900273971
"51",18073,2001,13.1423924068493
"52",13025,2001,11.0251283479452
"53",13171,2001,13.4756557442922
"54",18151,2001,14.4175846334855
"55",48361,2001,11.506074254664
"56",39047,2001,15.1131248904109
"57",25015,2001,11.6767676709284
"58",21003,2001,13.8868159378995
"59",37001,2001,14.4035349102739
"60",20073,2001,9.88651388675797
"61",25025,2001,14.5957044169621
"62",16051,2001,9.87590909794521
"63",48177,2001,8.27893843972602
"64",47115,2001,13.6517973410959
"65",26007,2001,9.69440847245051
"66",21231,2001,13.4022039758904
"67",47185,2001,13.226707486758
"68",48147,2001,10.994822196347
"69",20043,2001,11.0045807260274
"70",48265,2001,7.49697697671233
"71",12053,2001,10.5102734466999
"72",12129,2001,11.4979067986301
"73",12131,2001,11.4595455369863
"74",28017,2001,12.3284653828767
"75",26035,2001,10.6464825083437
"76",20157,2001,9.51406267945204
"77",12127,2001,9.7942814375318
"78",40017,2001,10.5973660046292
"79",13115,2001,16.6225892023288
"80",32001,2001,7.53095027084148
"81",31181,2001,9.08892147808219
"82",17067,2001,12.0564925127201
"83",46067,2001,9.3906242721461
"84",41013,2001,7.86848187465753
"85",50011,2001,9.76301633616438
"86",26103,2001,8.35153253333332
"87",9007,2001,13.5266993885083
"88",37057,2001,15.2331166411764
"89",17025,2001,13.1876367664384
"90",29103,2001,10.8206196986301
"91",29117,2001,10.8944647484932
"92",42117,2001,11.2423220463014
"93",31043,2001,10.5008136541096
"94",26089,2001,9.47907521187213
"95",51181,2001,12.5152157958904
"96",48391,2001,7.15438215616438
"97",39017,2001,16.7175717354795
"98",13273,2001,12.0945158041096
"99",13063,2001,16.527206582137
"100",56013,2001,7.7015646709589
"101",18115,2001,15.7753612493151
"102",13073,2001,14.0700935369863
"103",8115,2001,8.26863057260274
"104",30065,2001,7.36746918493151
"105",42043,2001,16.4493659889146
"106",46101,2001,9.7914432369863
"107",54079,2001,14.3470930843836
"108",34037,2001,12.1756676107584
"109",20039,2001,8.87271243561644
"110",18123,2001,16.0932332060274
"111",28145,2001,12.2160985630137
"112",31015,2001,8.29716737260274
"113",27095,2001,9.61595649393345
"114",38099,2001,8.58760249223743
"115",39115,2001,14.6473025232877
"116",39133,2001,16.4754349722113
"117",56041,2001,8.40061061187214
"118",32013,2001,6.57567429315069
"119",48247,2001,8.15917231917808
"120",8017,2001,7.80039920273973
"121",41005,2001,8.75337482931507
"122",5113,2001,11.657520279452
"123",13193,2001,13.506641839726
"124",18007,2001,13.5532067324201
"125",47129,2001,13.844721190137
"126",46043,2001,8.94071032328767
"127",24047,2001,12.6330470035959
"128",17185,2001,14.522922880137
"129",18069,2001,14.9822598730593
"130",21209,2001,15.1488065943248
"131",19053,2001,10.212002736073
"132",18169,2001,15.5100250167808
"133",18003,2001,15.2518551329052
"134",18099,2001,14.1777724226027
"135",31171,2001,7.53400557260274
