GEOID,VALUE_0,VALUE_11,VALUE_12,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95
31073,0,14126400,0,30890700,6540300,450900,109800,113400,79200,18000,86400,7535700,537369280,2730600,570101376,24268500,5736600
38043,0,400616992,0,97946096,5388300,728100,91800,1307700,2007000,30600,18000,1044900,1669447808,241035296,996093888,1815300,235853104
40015,0,35584200,0,106289104,18363600,7877700,2922300,1995300,202437904,154326592,5075100,24234300,1690826368,32436000,1039973376,1249200,4122900
42075,0,5175000,0,69664496,61136100,22242600,10386000,1687500,260182800,5533200,53805600,5859000,2644200,136356304,303450304,7047000,1313100
48069,0,17189100,0,64850400,7144200,1257300,693000,932400,299700,2700,23400,82679400,653278528,16100100,1472731136,75600,14082300
48279,0,10491300,0,85278600,11440800,1881900,684900,1408500,144900,2700,67500,761875200,261500400,4513500,1489601664,26100,5942700
48385,0,1339200,0,18767700,3090600,513900,117000,306900,78630304,624953728,203400,1064285120,1718100,231300,602100,2687400,78300
55141,0,38571300,0,84567600,51315300,14976000,6157800,878400,322752608,63270000,104900400,16506000,48550500,47081700,667564224,452166304,176370304
55099,0,64106100,0,81490496,12672900,2018700,648900,237600,1013581824,32917500,405056704,30738600,39365100,128184304,57602700,1297323008,142013696
35057,0,1404000,0,108012600,7393500,2154600,458100,9806400,19075500,795189632,2809800,3350183424,4233113088,1665000,83700000,360000,50903100
26107,0,34038000,0,65054700,37858500,6557400,2273400,1193400,444885312,60339600,58489200,12843000,51743700,22787100,449907296,222109200,10821600
29003,0,9920700,0,40348800,19136700,3678300,545400,1376100,185953504,239400,8020800,621000,7470000,287971200,542002496,14733900,6696900
42097,0,43409700,0,78462000,34838100,15266700,6048900,9777600,482919296,7855200,92219400,6363900,5000400,118686600,329840096,2925000,2837700
17141,0,14242500,0,64681200,55932300,14170500,6445800,2952900,160445696,4921200,35721000,306000,1260900,116103600,1502095488,12106800,1198800
12091,0,167099392,0,163739696,90294304,39594600,15858900,26655300,7632900,1060731008,29694600,326937600,172185296,49564800,96470096,324122400,7570800
17075,0,6548400,0,90446400,64052100,10077300,2297700,954900,40883400,612000,21236400,73800,1905300,33920100,2586669312,35443800,2362500
19059,0,63665100,0,41561100,14134500,7264800,1877400,1475100,410400,15300,15879600,2558700,68452200,26928900,765619200,487800,36777600
20129,0,692100,0,52438500,3552300,512100,90900,679500,1484100,12600,62100,231003904,614042112,28682100,946457984,4423500,6494400
28153,0,15198300,0,83234704,17234100,3996000,858600,2733300,13622400,781275584,385354816,156834896,139196704,152363696,4213800,340371008,15426000
36073,0,12342600,0,39252600,18722700,3438900,1204200,1349100,157720496,742500,18777600,1319400,1231200,101698200,487867488,169094704,7790400
36003,0,12718800,0,128711696,14400900,3521700,738000,2766600,1273425280,185404496,424054784,14779800,12680100,479745888,91887296,28693800,6974100
51009,0,12010500,0,55908900,24485400,4823100,1467000,451800,613034112,72837904,246413696,30297600,35646300,172453504,1141200,138600,145800
13267,0,12028500,0,50442300,22147200,4774500,869400,2212200,6249600,259744496,17150400,96128096,90512096,92036704,221387392,333496800,16874100
16053,0,10890900,0,50805900,17265600,3159900,855900,190800,0,52200,0,128708096,582215424,33070500,751940096,442800,381600
36039,0,32940900,0,79323296,19593900,6863400,2343600,6660900,805068928,159703200,416788192,4520700,9756900,115830896,13400100,57299400,9057600
26077,0,45455400,0,122572800,109437296,41027400,19548000,4313700,280591200,10989000,30258900,2014200,7934400,54767700,552553216,210711600,9368100
26123,0,49459500,0,87399904,39757500,6137100,2088000,524700,842103872,164619904,115288200,23698800,77513400,15243300,458749792,336733184,14412600
20073,0,31885200,0,63034200,18634500,1960200,243000,1490400,222674400,226800,5477400,8415900,2023379072,414301504,177380096,8452800,2263500
31035,0,4151700,0,63047700,14704200,2227500,711900,478800,9838800,0,57600,0,210972608,4988700,1142111744,1754100,30342600
31011,0,4632300,0,48654000,12782700,1126800,423000,1049400,17605800,305100,192600,205200,477486912,5976900,1177508736,19355400,9935100
37081,0,29709000,0,256700704,198566096,91557904,42705900,2728800,510577216,52561800,84084304,26996400,27074700,313217984,55318500,16394400,1200600
46061,0,15350400,0,39924000,3774600,1085400,168300,1367100,6586200,177300,157500,687600,69237000,171945904,760906816,573300,52673400
50015,0,9534600,0,40850100,16257600,4791600,1303200,2107800,483281984,151110000,297019808,12886200,10180800,108053104,10654200,36681300,5182200
55069,0,64262700,0,65951100,18540900,4544100,1595700,352800,781923584,48583800,283626912,17542800,29040300,5431500,258836400,691519488,70425904
47091,0,10989000,0,33732000,4222800,1095300,338400,913500,373721408,16083000,233775008,5256000,6516900,97836304,2225700,432000,296100
19145,0,7250400,0,41993100,20798100,2437200,685800,537300,71225104,796500,4212900,424800,17477100,220318208,968607872,6477300,1816200
08119,0,4292100,0,24925500,6559200,887400,327600,9637200,24245100,805133696,3470400,285371104,266419808,2970000,0,12636000,11102400
29139,0,16204500,0,42515100,16416900,4116600,962100,1878300,410063392,2814300,107730000,1143900,4917600,253144800,525660288,17723700,748800
22127,0,12619800,0,94966200,27745200,3352500,1036800,1213200,94717800,1314240256,37778400,239475600,112234496,24620400,1200600,512895616,9382500
11001,0,16224300,0,27452700,41046300,50889600,22100400,957600,14479200,63900,1839600,128700,342000,230400,1370700,1468800,339300
16041,0,9616500,0,38036700,6659100,1044000,471600,655200,207346496,186627600,16864200,730923328,37922400,29395800,469450816,5971500,12378600
19007,0,52886700,0,39960900,19826100,1946700,498600,2612700,280402208,2157300,23494500,2205000,11489400,541772992,325944000,19076400,13837500
20157,0,9702000,0,60466500,12739500,2555100,601200,758700,79544704,900,855000,85500,462026688,2484900,1222951552,4788900,2034000
26101,0,36785700,0,56993400,27440100,7426800,2565000,5612400,523269888,123498000,102808800,48847500,180154800,6150600,112733104,203192096,11005200
27047,0,46910700,0,73462496,27717300,9665100,2718000,1224000,31307400,250200,2616300,20700,31371300,49464000,1529906432,10694700,54382500
39093,0,10826100,0,145308608,136277104,46494900,13902300,2576700,259036192,5093100,29489400,1541700,4731300,176525104,374436000,78455696,849600
47139,0,15476400,0,49827600,7189200,1945800,479700,664200,298856704,230166000,389034912,19711800,18316800,114356704,18405900,1556100,918900
48359,0,6642000,0,24228900,8100900,818100,134100,3441600,319500,87300,0,2645019904,913933824,2865600,280983616,4505400,13820400
21191,0,9063000,0,29586600,5479200,1213200,390600,1674000,265178704,74819696,137196000,3086100,4392900,210771008,9287100,569700,422100
17137,0,13989600,0,32306400,47016900,19585800,3581100,515700,136059296,208800,67145400,680400,1016100,103759200,1042147776,9301500,5065200
19169,0,5367600,0,74629800,37338300,17779500,5316300,922500,33711300,337500,13812300,27000,16287300,77363104,1182978048,13470300,5046300
26065,0,9285300,0,93956400,109568704,53289900,21910500,1629000,101500200,2448000,16711200,272700,1567800,138730496,609795904,258253200,22362300
28127,0,7492500,0,63761400,17498700,4076100,783000,341100,53275500,382798784,401300992,89474400,81366304,247582800,2820600,140238896,9858600
28035,0,15113700,0,78668096,46254600,19376100,7308900,7664400,3105000,419734784,106806600,118442704,50395500,107863200,10046700,213434096,7891200
33001,0,180963008,0,72783000,27558000,11247300,3465900,4926600,203328896,133689600,448402496,32875200,12671100,33498000,1253700,68593504,5925600
39055,0,15269400,0,110466000,50609700,8576100,2617200,2529000,480113984,4108500,43965900,5481000,11891700,225838800,36354600,55180800,5321700
45059,0,30998700,0,117497696,40197600,9500400,4369500,4026600,449753408,480560384,214856096,62715600,86392800,323669696,4953600,44614800,2571300
46097,0,13037400,0,51400800,3136500,751500,144000,459900,5730300,0,186300,132300,25918200,508149888,814287616,1460700,56682900
48127,0,14284800,0,50899500,22716000,7964100,1812600,4722300,4227300,0,2070900,2775179776,412246784,12848400,56388600,76455000,17248500
48305,0,30771000,0,67556704,5495400,496800,104400,1913400,2793600,191700,0,162353696,356364000,2955600,1665059456,2186100,17028000
48171,0,2744100,0,73186200,7758900,3474000,1388700,1185300,61361100,349116288,766800,2111105664,31608900,47033100,56943000,520200,46800
51097,0,26181900,0,28493100,3385800,647100,46800,1251900,50288400,230792400,176597104,48533400,17712900,4013100,133452896,79391696,12620700
17003,0,50972400,0,24179400,10007100,2905200,684000,6719400,211374000,53100,1984500,124200,1233900,19454400,226176304,83504704,13380300
47173,0,56383200,0,32176800,11473200,2103300,477000,3648600,345739488,11689200,43027200,6170400,17010000,114786896,4500,109800,57600
18005,0,13332600,0,60397200,28690200,12452400,4576500,1014300,276425984,667800,25386300,1998000,5085000,83725200,527355904,9318600,934200
40031,0,43300800,0,103718704,57108600,34813800,12773700,2938500,177053408,8558100,31009500,73292400,1890592256,5145300,391164288,34200,886500
29195,0,29961000,0,55920600,21534300,5403600,2277900,2704500,240674400,204300,10593000,1647000,7072200,352731584,1177112704,48258000,17685900
